date;infected;deaths;recovered;sicked;critical
01.04.2020;934825;47189;193989;693647;35478
02.04.2020;1014296;52982;212018;749296;37698
03.04.2020;1097810;59140;228405;810265;39439
04.04.2020;1192619;64227;246063;882329;42066
05.04.2020;1262320;68502;260338;933480;45490
06.04.2020;1331104;73940;277737;979427;46538
07.04.2020;1425805;81972;301828;1042005;47912
08.04.2020;1509678;88334;329674;1091670;48028
09.04.2020;1586326;94786;353075;1138465;48943
10.04.2020;1697354;102664;376106;1218584;49830
11.04.2020;1778210;108755;402496;1266959;50434
12.04.2020;1851578;114175;422889;1314514;50764
13.04.2020;1923280;119587;443886;1359807;51748
14.04.2020;1995947;126537;478315;1391095;51595
15.04.2020;2081733;134499;509858;1437376;51144
16.04.2020;2180003;145417;546743;1487843;56577
17.04.2020;2248037;154126;570792;1523119;56967
18.04.2020;2329030;160542;595866;1572622;55265
19.04.2020;2395636;164565;615668;1615403;54247
20.04.2020;2479667;170363;645810;1663494;56758
21.04.2020;2543588;176596;687034;1679958;57254
22.04.2020;2621436;182989;714319;1724128;56671
23.04.2020;2701484;189297;741921;1770266;58022
24.04.2020;2810384;195923;778357;1836104;58361
25.04.2020;2903473;202236;832211;1869026;58172
26.04.2020;2986750;206669;875312;1904769;57581
27.04.2020;3050584;210627;917397;1922560;56394
28.04.2020;3118618;216209;947190;1955219;56381
29.04.2020;3216808;227906;999231;1989671;59812
30.04.2020;3292489;233144;1034773;2024572;50515
01.05.2020;3383588;238593;1072915;2072080;50005
02.05.2020;3467476;243750;1113549;2110177;50869
03.05.2020;3553313;247466;1150497;2155350;50058
04.05.2020;3631354;251281;1184019;2196054;49900
05.05.2020;3710380;256920;1235477;2217983;49329
06.05.2020;3798341;262991;1283477;2251873;48227
07.05.2020;3912588;270403;1340601;2301584;48958
08.05.2020;3989975;274816;1374106;2341053;48456
09.05.2020;4098092;280223;1435311;2382558;47690
10.05.2020;4163292;282948;1467349;2412995;47035
11.05.2020;4250929;286993;1525207;2438729;46956
12.05.2020;4324731;291724;1571066;2461941;46332
13.05.2020;4401048;296327;1645277;2459444;45908
14.05.2020;4500927;302066;1691661;2507200;45492
15.05.2020;4603043;307146;1739164;2556733;45084
16.05.2020;4696927;311400;1802271;2583256;44750
17.05.2020;4780197;315646;1846799;2617752;44868
18.05.2020;4887654;319957;1904358;2663339;44761
19.05.2020;4964032;323433;1948388;2692211;45079
20.05.2020;5051897;327751;2004982;2719164;45267
21.05.2020;5166417;332857;2060727;2772833;45580
22.05.2020;5269157;338111;2136682;2794364;45176
23.05.2020;5378209;342835;2226404;2808970;53491
24.05.2020;5471444;345806;2288676;2836962;53208
25.05.2020;5563467;346680;2349233;2867554;53085
26.05.2020;5648632;350299;2409908;2888425;53012
27.05.2020;5749366;355329;2472299;2921738;53022
28.05.2020;5864341;360118;2567216;2937007;52872
29.05.2020;5991330;364893;2634852;2991585;53528
30.05.2020;6102586;368736;2708465;3025385;53466
31.05.2020;6230422;372533;2779895;3077994;53467
01.06.2020;6332783;375241;2884456;3073086;53440
02.06.2020;6444495;379563;2948128;3116804;54251
03.06.2020;6523308;383987;3104319;3035002;54185
04.06.2020;6655773;389575;3210020;3056178;55126
05.06.2020;6789321;394755;3304561;3090005;53529
06.06.2020;6934447;399074;3400796;3134577;53590
07.06.2020;7081593;403593;3453636;3224364;53664
08.06.2020;7159557;406444;3496952;3256161;53780
09.06.2020;7273274;410121;3581653;3281500;53911
10.06.2020;7399701;414759;3709860;3275082;53868
11.06.2020;7548401;420024;3824705;3303672;53882
12.06.2020;7680700;424379;3888537;3367784;53922
13.06.2020;7826494;428715;4014104;3383675;53974
14.06.2020;7951413;432213;4087411;3431787;54104
15.06.2020;8069483;435431;4175845;3458207;54511
16.06.2020;8204006;441497;4274779;3487730;54295
17.06.2020;8347803;446609;4364494;3536700;54474
18.06.2020;8531146;451687;4495928;3583531;54592
19.06.2020;8699133;456959;4583642;3658532;54760
20.06.2020;8861633;462362;4717412;3681859;54475
21.06.2020;9006320;466220;4786608;3753492;54733
22.06.2020;9128677;469784;4888837;3770056;57849
23.06.2020;9287593;474461;4997387;3815745;57903
24.06.2020;9451515;479554;5111629;3860332;58021
25.06.2020;9649159;484934;5239070;3925155;57461
26.06.2020;9825417;491411;5304361;4029645;57543
27.06.2020;10012709;496171;5419828;4096710;57681
28.06.2020;10189317;499985;5514345;4174987;57970
29.06.2020;10352674;503369;5613290;4236015;57415
30.06.2020;10510161;507821;5729201;4273139;57720
